family_income_category,parent_education_level,prior_academic_performance,school_resources_rating,distance_to_school_km,transportation_access,special_education_needs,language_barrier,family_support,peer_influence,extracurricular_participation,school_climate,attendance_rate,dropout_probability
Upper Middle,Graduate,2.581768924760443,Good,1.8250874505920522,Walk,None,Minor,Low,Negative,None,Good,90.61182602084813,0.865452468786127
Middle Class,Less than HS,1.9689234257024015,Good,8.952733909760969,Bus,Severe,Major,High,Negative,Active,Fair,52.73041019171468,0.044015826600643404
Upper Middle,Some College,2.699003312729649,Poor,5.549799148887956,,None,Major,Moderate,Positive,,Good,88.98210319793648,0.9195823442817439
Low Income,Some College,2.9932476333246427,Fair,18.40631801471654,Bus,Severe,Major,Low,Neutral,Some,Toxic,64.37099421209139,0.5191147695989529
Low Income,Bachelor,2.679073372195956,Good,22.06333704748526,Car,,None,High,Neutral,None,Toxic,58.14133413664766,0.6025795082050915
Below Poverty,Less than HS,1.7901133389766248,Excellent,8.91955633162907,Bus,Mild,Minor,None,Positive,Some,Good,89.6965122023928,0.23104568529763492
Wealthy,Some College,1.5740829227194975,Good,15.684193759571352,None,None,None,Low,Positive,Some,Poor,52.22777383961951,0.4236298327771567
Below Poverty,Graduate,2.527877237494865,Good,19.01128830514595,Car,Moderate,Major,None,Negative,,Excellent,89.22041623010085,0.8639613316869602
Low Income,Bachelor,2.596405194454188,Fair,24.0777473652284,Car,Moderate,None,High,Negative,Active,Poor,93.75290034305155,0.7520832135363937
Middle Class,Less than HS,3.0249396238341184,Fair,17.46679910442122,None,Moderate,Major,,Positive,Some,Poor,64.24449750956458,0.9580750518670699
Wealthy,Some College,2.4936519528198895,Poor,12.539251570938905,Car,Severe,Minor,None,Positive,Some,Fair,51.52047427134015,0.7133071100103122
Wealthy,,1.6042864025924257,Excellent,9.207296882797438,Bus,None,Minor,None,Positive,Some,Excellent,77.3776253223738,0.33352173202238966
Upper Middle,,3.9801019833369873,Excellent,5.9896346865552355,Bus,Moderate,Major,None,Neutral,Active,Poor,97.18927651569774,0.878336281956413
Middle Class,High School,2.3091894980218286,Good,18.728854840112685,Walk,,,Low,Neutral,Some,Excellent,81.25084941558278,0.3480584172131742
Wealthy,Some College,2.0036231500620953,Poor,29.683553410897616,None,Severe,Minor,None,Positive,Some,Poor,57.87384369877887,0.24746510833058322
Wealthy,Less than HS,2.120547624591313,Fair,24.807950832182765,Walk,Severe,Minor,None,Positive,Active,Toxic,91.86662262875245,0.07133935474083164
Middle Class,Some College,3.5733082069072877,Excellent,16.33712337991973,Bus,Severe,Minor,Low,Negative,Active,Excellent,92.5359175627384,0.28996768913879145
Middle Class,Graduate,3.6088878896381527,Fair,25.405625411782744,None,Mild,Major,High,Negative,Some,Excellent,83.6687752727126,0.22621571889729897
Upper Middle,,3.7354318999901466,Poor,20.43754215155862,Car,None,None,Low,Positive,None,Fair,59.38506296722774,0.9727688181510504
Below Poverty,Bachelor,2.6192017852040377,,11.219076403105708,Walk,Moderate,Minor,Moderate,Negative,None,Poor,58.687677558370765,0.5913484576632773
Wealthy,Less than HS,2.462620691164035,Good,25.2293467356561,None,Mild,None,Low,Positive,None,Toxic,56.657052720214956,0.08365774197142639
Low Income,High School,3.6241958639693443,Fair,1.263599978460248,Walk,None,Minor,Moderate,,Some,Toxic,88.94393480198329,0.7277500510770766
Below Poverty,Some College,3.8995373777550615,Excellent,16.02720752095328,Bus,None,Minor,Moderate,Negative,Some,Toxic,76.9166543460893,0.8168526043786652
Middle Class,Some College,2.0413001100607886,Excellent,3.589064292798979,Car,Mild,Major,None,Negative,,Poor,50.98428538748435,0.014029419137495336
Below Poverty,Less than HS,2.642160092245324,Fair,4.3047656781149755,Bus,Severe,Minor,Moderate,,Some,Toxic,65.6463387690637,0.5165425900319774
Upper Middle,Graduate,3.4066022430022853,Fair,21.54045988579387,None,None,,Moderate,,Some,Toxic,69.67025287200346,
Middle Class,Graduate,3.8429479259442725,Excellent,23.32666578524721,,Severe,Major,Moderate,Neutral,Some,Fair,77.07973992650149,0.07813809443324682
,High School,2.635561647166382,Fair,26.15972490947409,Walk,Mild,Major,Low,Negative,Some,Toxic,87.05089723479804,0.09198341538459986
Middle Class,Less than HS,2.3302701869544604,Poor,10.212655557063396,None,Severe,Major,None,Positive,Active,Excellent,80.7381574873123,0.7850161738722724
Wealthy,High School,1.6166990169682918,,7.18968627062641,Walk,Mild,Major,Moderate,Neutral,Active,Excellent,,0.7386556923462269
Below Poverty,Graduate,3.156798222876903,Excellent,10.361042817020204,Walk,None,Minor,None,Neutral,Some,Toxic,84.12393548995854,0.7692635000924792
Low Income,Less than HS,2.9202973193482458,Good,24.720771634758716,Bus,Severe,None,Low,Negative,None,Poor,83.99281269965073,0.06107081036607098
Wealthy,Graduate,2.8654008768621386,Poor,29.485305063013783,Car,Mild,Minor,High,Negative,Active,Poor,57.36864386795774,0.685920324417724
Middle Class,Graduate,2.6242863173681257,Good,4.615308939823107,Bus,Mild,Major,High,Neutral,None,Good,99.92185433777274,0.40243346093485666
Low Income,Graduate,2.603667362897954,Excellent,21.222569476319705,None,Moderate,None,High,Negative,Active,Excellent,84.15709915953431,0.23040553440129252
Low Income,Less than HS,2.1579820299575667,Poor,14.474452231840512,Bus,Severe,Major,Moderate,Positive,None,,78.10248785576292,0.39436876683726574
Upper Middle,,2.1010961131585804,Good,17.380693103716848,Car,Severe,Minor,None,Neutral,Some,Fair,54.53558995175713,
Middle Class,Less than HS,2.89238525427633,Excellent,26.312627602409332,Bus,Mild,None,Low,,None,Fair,69.54435864783503,0.12270251263349063
Middle Class,Bachelor,3.689058847540977,Good,27.196820145061185,Car,Mild,Minor,None,Positive,Some,Excellent,77.98006317408034,0.33443541003618293
Middle Class,Some College,3.387571944260353,,1.7958659286209058,Walk,None,Minor,Moderate,Neutral,Some,Fair,61.06850872409741,0.2980688043754688
Middle Class,High School,3.8438365085735935,Good,,None,Moderate,None,None,Positive,Active,Poor,52.072372979937214,0.5556420931935688
Low Income,Less than HS,3.523309799757317,Good,2.889890552479339,Walk,Severe,None,Moderate,Negative,None,Excellent,88.812740606636,0.08030140577963818
Wealthy,Bachelor,,Excellent,7.665001077500971,Car,None,None,None,Positive,None,Fair,58.71955456657274,0.38073152288686396
,Graduate,2.8285670439472246,Fair,11.25772707057091,Car,None,None,Low,Positive,Some,Toxic,99.0507402192737,0.8744833641736323
Middle Class,High School,3.8894429579473715,Excellent,8.974331402316054,Walk,Severe,Major,Moderate,Neutral,Some,Good,93.67431648608925,0.8715347776994867
,Less than HS,3.5058378310317635,Fair,3.884846589691417,Walk,Mild,None,High,Negative,Some,Toxic,50.770408021725075,0.4871270395830066
Upper Middle,Bachelor,2.6808666784361086,Fair,25.720450728015308,Bus,Severe,None,Moderate,Positive,None,Excellent,90.48600731376408,0.8127139075094523
Upper Middle,High School,2.53466559803074,Excellent,1.4033734519785606,Bus,Moderate,None,Low,Negative,,Poor,72.10707596812448,0.15981658181863168
Low Income,Bachelor,1.6954201882140019,Good,22.33879190052791,Bus,Moderate,,None,Negative,None,Toxic,68.5355229956767,0.18187747460962245
Low Income,Graduate,2.033537042599752,Good,2.644451823729378,Car,None,Major,None,Positive,Active,Fair,75.46150010000297,0.05491825900135183
Upper Middle,Less than HS,2.7011433590499183,Excellent,14.998059260750896,Walk,Moderate,Minor,Low,Negative,None,Toxic,77.7517284360383,0.7593646362475331
Low Income,Bachelor,1.817344751450339,Good,,Car,Mild,None,High,Negative,,Toxic,87.76632219706266,0.657553279668513
Below Poverty,Graduate,1.6635731307739972,Poor,16.432973116452334,Car,Moderate,Minor,Moderate,Neutral,Active,Poor,97.64718845853423,0.7743804646719186
Wealthy,,2.247436523215611,Poor,15.578507311238411,Bus,Severe,Minor,,Positive,Some,Poor,95.39027090537725,0.3182782901898693
Low Income,Graduate,2.304089337322864,Fair,4.5909284155359735,None,None,Major,None,Positive,Some,Fair,85.33620009349025,0.24848692040331588
Middle Class,Some College,,Fair,24.102985889685662,Bus,Mild,Major,Low,Positive,Active,Excellent,79.96547104826789,0.4979306338587238
Below Poverty,High School,1.9701700840999457,Excellent,9.062009768744309,Car,None,None,Low,Positive,None,Toxic,75.12985715528657,0.20093006079404974
Upper Middle,Graduate,2.9826470096933395,Excellent,6.982125009064256,Car,Severe,None,Low,Negative,Active,Excellent,69.93933800783745,0.2875758216199892
Wealthy,High School,2.1352951690006967,Excellent,18.099007279177936,Walk,Mild,,None,Neutral,None,Poor,91.18474160264174,0.24187736695046325
Middle Class,Graduate,,Fair,6.19688712088955,Bus,None,None,,Neutral,None,Excellent,85.88248907146675,0.9887343443493921
Wealthy,Some College,1.7198879955463906,Fair,9.826756879584929,None,Mild,Minor,Low,Neutral,Active,Good,57.475485160354886,0.9377499205519004
Upper Middle,Graduate,2.623110097515957,Good,1.24296345093601,Car,Moderate,Minor,High,Positive,Some,Fair,83.2188409891931,0.2724678927454992
Below Poverty,Bachelor,2.0983293897157465,Good,6.818952430529439,Bus,Moderate,Major,None,Negative,Some,Toxic,59.67729399657905,0.7582135901161178
Low Income,High School,3.443333746179534,Fair,24.81455798869576,Walk,None,None,Moderate,Positive,None,Poor,51.29959457996089,0.761576947925685
Low Income,Less than HS,1.9215812943521033,Good,25.973371612356935,Car,Moderate,None,Low,Neutral,None,Toxic,83.04198141578357,0.32748874316356436
Low Income,Bachelor,2.2523516051953694,Good,12.295235545857985,Bus,None,Minor,None,Negative,Active,Toxic,79.1499588183663,0.502704522009727
Low Income,Graduate,1.6494571352803387,Fair,26.837069361701683,,None,Major,Moderate,Negative,Active,,86.03399306213399,0.6880801918788336
Upper Middle,Bachelor,1.6522210497563754,Poor,12.834691542148533,Bus,Mild,Minor,Moderate,Positive,Active,,92.56841619581965,0.1584065682837681
Upper Middle,Bachelor,1.8871260613122705,Excellent,23.88507308988912,Walk,Severe,Major,Moderate,Negative,Active,Toxic,73.4860407195076,0.15214811838468123
Wealthy,High School,2.1073065666955966,Excellent,4.6488446281837215,,Severe,Major,High,Positive,,Good,65.4917282884132,0.3652031053202518
Low Income,Graduate,1.5933017059838765,,11.35479157253694,Car,None,Minor,None,Positive,None,Fair,82.16038149236994,0.5285930934881748
Upper Middle,,2.710079764979135,Poor,25.159236321976262,Bus,Severe,Minor,None,Positive,None,Poor,51.57649572233215,0.3116388378864988
Low Income,,2.6440872413067154,Poor,5.437687895980936,Bus,None,Major,Moderate,Negative,None,Toxic,79.76981472639511,0.8980198379470604
Upper Middle,High School,2.56319268889777,Poor,18.026487793790018,Walk,None,Major,,Negative,Active,Poor,,0.5470209252640665
Below Poverty,High School,3.345426970296219,Excellent,12.866483531046638,Walk,Mild,None,Low,Positive,None,Excellent,87.41969508188129,0.010366295144830895
Upper Middle,Graduate,2.117010010295819,Excellent,12.368836343508113,Walk,Mild,Minor,None,Neutral,None,Fair,67.12544985724995,0.9201974359086086
Upper Middle,Less than HS,2.5956013265788567,Fair,26.747871070568024,None,Moderate,None,High,Positive,None,Fair,89.46826020687112,0.791483810678075
Wealthy,Graduate,3.466532641715885,Excellent,10.3872412491448,Walk,None,Major,Low,Negative,Some,Toxic,73.95673980664317,0.9347791243791695
Wealthy,Bachelor,2.725947185728836,Good,1.3215886611977916,Walk,Mild,None,None,Neutral,None,Fair,55.802291495128095,0.14787076670918742
Wealthy,Bachelor,3.998956643126109,Poor,14.510945648123624,None,None,None,Low,Positive,Some,Fair,73.63937912100207,0.042961994096287315
Low Income,Some College,,Fair,2.085095334395837,Bus,Moderate,Major,Low,Neutral,Active,Toxic,69.19404128749186,0.9685005175129886
Wealthy,Graduate,2.336579257066708,Poor,2.5135109125130284,Bus,None,Major,Low,Negative,Some,Fair,55.37142148338343,0.6757420206241617
Wealthy,Bachelor,3.5214343992665555,Good,28.648733771277488,Car,None,None,,Positive,Active,Fair,90.58629411815386,0.3728638777618022
Low Income,Bachelor,2.019247773647499,Fair,5.8940897830207355,None,None,Major,High,Positive,Some,Good,77.4746290749129,0.6895116301205063
Low Income,High School,1.654387914165023,,16.487751655925983,Car,None,None,High,Negative,,Toxic,74.72700528338603,0.35968248551597903
Low Income,High School,1.5421148860279772,Fair,19.2138320865999,Car,,Major,Moderate,Positive,None,Good,82.8718262886739,
Upper Middle,High School,3.772858997292339,,11.082683715548768,None,Moderate,Minor,Moderate,Neutral,None,Toxic,74.49913195042468,0.7541463243540587
Wealthy,Bachelor,3.7852607731337606,Good,1.0988644079271181,Bus,Severe,,Low,Negative,Active,Good,85.38977517693243,0.5999654574849783
Upper Middle,Some College,3.542846940523468,Poor,25.45578075899062,None,None,Major,None,Neutral,Active,Toxic,97.04276562131474,0.9447969196437096
Upper Middle,Less than HS,2.1449686279779225,Excellent,29.251770136799614,Car,None,None,None,Negative,None,Good,66.62878855561847,0.12791696733483626
Middle Class,Less than HS,1.989568350739678,Good,28.59427963182682,None,Severe,None,High,Negative,None,Fair,88.13991501051272,0.6413160057551294
Low Income,High School,,,14.556985656702992,Bus,None,Minor,High,Negative,Some,Excellent,62.30375715018505,0.17764886122979184
Middle Class,Less than HS,3.1552094115712785,,8.922462731741465,Bus,None,None,Low,Positive,Some,Good,96.63752796649936,0.22538697824381826
,Bachelor,3.7604792430489073,Poor,29.753778271278872,None,None,None,Low,Neutral,Active,Fair,98.13543843021347,0.19233762029904067
Upper Middle,High School,2.4870005822423433,Poor,,Car,,Major,High,Neutral,Some,Poor,63.35837872950887,0.5450410110146128
Low Income,Bachelor,2.9420765697020648,Fair,25.691966143592065,Walk,Mild,Minor,High,Negative,Active,Excellent,71.10561087751441,0.9139647724945978
Below Poverty,High School,1.6592866833161288,Poor,14.049003021352691,Walk,Mild,Major,None,,None,Fair,53.71956188760684,0.6447519644458924
Middle Class,Less than HS,2.1210922841765028,Poor,13.059068127419799,None,Severe,None,None,Positive,Some,Poor,64.74986251316679,0.21776216073253984
Upper Middle,Some College,2.6835607389362184,Excellent,9.99750447718299,Bus,Severe,Major,None,Positive,Some,Toxic,56.49603561251119,0.7842407634229916
Wealthy,High School,2.395361255196212,Excellent,27.70632732264548,None,Moderate,None,Low,Neutral,Active,Excellent,50.5319645773896,0.7271744040339935
Wealthy,Some College,3.8565889567679443,Fair,18.200046832926695,Bus,None,Minor,Moderate,Negative,Active,Good,,0.2332257507220563
Wealthy,Less than HS,2.986396127675728,Poor,20.250621367413125,,Mild,None,None,Positive,Active,Fair,60.815084734986016,0.3751661054058337
Wealthy,Graduate,3.461875083926661,Good,15.607305445567853,None,Severe,None,High,Negative,Some,Excellent,96.03483317458345,0.09381784696672857
Low Income,Graduate,3.2732130906805583,Poor,2.3953237223271278,None,Moderate,Minor,High,Negative,Active,Toxic,81.42085285004104,0.4936276891933291
Upper Middle,High School,1.7200445213988371,Poor,21.16785764243178,Bus,Moderate,Major,None,Negative,Some,Poor,65.39659943640694,0.6960095091374903
,Some College,,Good,19.180106649795935,Car,Moderate,Minor,High,Neutral,None,Good,91.64438039525987,0.8339431394624554
Below Poverty,Graduate,1.9815839291861923,Good,18.303070644302974,Car,Mild,Major,High,Positive,Active,Good,68.27335823532309,0.7804166559309591
Below Poverty,High School,1.8740175718982164,,22.65869036651744,Car,Mild,None,Low,Negative,None,Toxic,85.83420203330621,0.5417608042732937
Middle Class,Graduate,3.6428589722603935,Excellent,7.7915974985771195,Walk,Severe,Minor,Low,Neutral,Some,Toxic,95.67494051570279,0.28821206598654336
Low Income,Some College,1.9580766616237093,Fair,19.15372675262605,Walk,Mild,Major,High,Neutral,Active,Toxic,56.158988650877305,0.9851034721411035
Low Income,,1.6685708477044128,Excellent,19.173642020856512,Car,Moderate,Minor,Low,Negative,None,Excellent,78.68143950176645,0.7933770024607643
Low Income,Graduate,1.543454087953392,Poor,29.068075224926428,Car,Severe,Major,Low,Negative,Some,Fair,80.87381240000843,0.5350699824141569
Upper Middle,Less than HS,,Fair,22.356083410608882,Bus,None,Minor,High,Positive,Active,Toxic,94.02016151012846,0.5694928997224825
Wealthy,High School,3.921564785838531,Poor,28.501787689493092,Car,Mild,None,None,Positive,Active,Excellent,,0.7419653773897853
Low Income,Graduate,3.91497354334217,Poor,7.132131877371028,Walk,None,Major,High,Neutral,Some,Fair,67.27628575117744,0.6980851299324866
Below Poverty,Some College,2.9810458038695202,,19.136686697885217,Car,None,Major,High,Positive,None,Poor,52.7978148497123,0.9322969061080054
Upper Middle,,1.9885315893596665,Excellent,1.6413785678057289,None,Severe,Minor,,Negative,Some,Excellent,83.18196669708892,0.13814339006498433
Low Income,Some College,,Excellent,15.884693834076492,Bus,Severe,None,Moderate,Negative,None,Fair,56.50369638139126,0.3095527988393706
Middle Class,Bachelor,3.0883234379282714,Poor,21.0792142355614,Bus,Mild,Minor,Low,Negative,Active,Good,66.13003456026067,0.7149279662873911
Wealthy,,3.1411423118620765,Poor,11.384503581549632,Bus,Moderate,Minor,None,Neutral,Some,Excellent,58.701903638015715,0.5511007575659141
,Bachelor,3.210343106418356,Poor,13.279314353544297,None,Mild,None,High,Positive,Some,Good,,0.920586773086044
Low Income,Less than HS,3.712346352570577,Excellent,25.683277002910607,Bus,None,Major,High,Positive,Active,Fair,91.81143872602308,0.430728542967422
Upper Middle,Graduate,1.5145122531564539,Poor,17.67223748499961,Bus,Severe,Minor,Low,,None,Poor,57.7793062694048,0.220836567311964
Below Poverty,High School,3.2786382601963533,Fair,10.386998347904735,Car,None,None,Low,,Active,Toxic,91.88491436595909,0.07505450198934493
Low Income,Graduate,3.6237190520905362,Good,4.460983925861486,Walk,None,Minor,None,Neutral,None,Good,58.14718619491013,0.4883412327481067
Upper Middle,Some College,3.5956329528011266,Poor,9.2005840605593,Walk,Severe,None,Moderate,Positive,Some,Poor,65.01254556065427,0.7978287019665748
Below Poverty,Bachelor,3.756436193223013,Poor,8.689418989194483,Car,None,Minor,None,Neutral,None,Toxic,78.84585324815983,0.13669044135956465
Below Poverty,Bachelor,1.5068903487365093,Excellent,28.342680768167405,Walk,,None,None,Negative,Some,Toxic,62.59584340182484,0.8740438659228247
Middle Class,Bachelor,2.4013640711840463,Fair,8.986424343656156,Car,None,None,None,Negative,Some,Toxic,73.87672479291287,0.7608896409931906
Wealthy,Graduate,1.920859592429676,Fair,15.10080266331373,Bus,Moderate,Major,Low,Neutral,Active,Toxic,80.60147807125983,0.14574085988521435
Below Poverty,Less than HS,2.883353044939459,Good,14.771086540596933,None,Mild,Minor,,Negative,Active,Excellent,88.0320870008502,
Upper Middle,High School,2.712183348679036,Fair,23.995998417061454,None,Mild,None,Low,Negative,Some,Toxic,,0.5469659300061207
Wealthy,Less than HS,2.0455044241733855,Fair,26.056931442419028,Car,Severe,None,High,Negative,Active,Poor,95.97097114717977,0.2437786573879559
Upper Middle,Less than HS,3.1868068190828285,,8.96659726407442,Walk,Severe,Minor,None,Neutral,None,Poor,61.06181529248214,0.5614987318679026
Upper Middle,Bachelor,2.625362136952302,Good,25.24279588022286,None,,None,High,Positive,Active,Excellent,59.41317847089929,0.008664852537306644
Middle Class,Less than HS,3.8023567943950622,Fair,22.934062901299882,Bus,Moderate,Major,Moderate,Negative,None,Excellent,50.84415267409775,0.03664263430596537
Low Income,High School,1.796196730685826,Excellent,1.2388239573232704,Walk,Mild,Minor,Moderate,Neutral,None,Fair,50.67121110318751,0.5775927618624916
Middle Class,Less than HS,3.5770577172886484,Poor,13.584281623868057,Walk,Moderate,,None,Positive,None,Excellent,64.20307669630702,0.2262244111406051
Upper Middle,Less than HS,,Excellent,22.081958918177072,Walk,None,Minor,High,Positive,Active,Toxic,93.95375255304714,0.5616224474037157
Low Income,Less than HS,3.5353305644427753,,13.433546433232374,Bus,Mild,,Moderate,Negative,Some,Toxic,66.85479349993967,0.5126295120072731
Below Poverty,Some College,2.040268026976953,Excellent,2.2832432798305753,Car,Moderate,,Low,Negative,None,Poor,,0.6311217816902238
Upper Middle,Bachelor,2.2663045123173555,Excellent,24.198447157686637,Walk,Mild,None,Low,Positive,Some,Good,52.762962959622925,0.08526809717361317
Upper Middle,,1.9892638819608814,Poor,7.273973704982663,,None,Minor,Moderate,Negative,Active,Excellent,80.20049014485596,0.46866700918217874
Upper Middle,,2.5318794215019107,Good,27.292078171822887,Walk,Mild,None,High,Neutral,None,Fair,92.81001656601526,0.2714462076611789
Below Poverty,Some College,2.271749560758087,Good,27.77004988961418,Walk,Mild,None,Low,Negative,Active,Good,62.80294845719657,0.557055410048789
Below Poverty,High School,2.655662257556905,Fair,19.024647518841547,Bus,Moderate,None,High,Negative,Active,Good,,0.7483181950174748
Upper Middle,Less than HS,2.654744641316241,Excellent,10.643427058847,Car,Severe,Minor,High,Neutral,Some,Poor,81.95505314790309,0.4713806248077318
Upper Middle,Bachelor,,Poor,26.69620200911757,Walk,Severe,Major,Moderate,Neutral,Some,Toxic,67.72074922436121,0.44958267386454553
Below Poverty,Bachelor,3.0275791661624982,Fair,21.584876832076,,Severe,Major,Low,Negative,Active,Excellent,69.59360859655557,0.14780917299726026
Low Income,Less than HS,3.095909718783981,Fair,16.363913738026724,Walk,None,None,Moderate,Positive,Active,Poor,99.03131698607737,0.8163098351073941
Below Poverty,Graduate,2.484120455870002,Poor,27.506293157557348,None,Severe,Minor,High,Negative,None,Good,96.76617271497048,0.15766830500303075
Middle Class,Graduate,3.061324325400806,Fair,24.9917078317675,Car,Moderate,None,None,Negative,Active,Toxic,82.33874687539773,0.12717790837479848
Below Poverty,High School,3.3402667542592703,Fair,15.44465877701999,Bus,Severe,None,High,Neutral,Active,Toxic,88.07744137098986,0.7717498054739681
Middle Class,High School,1.6423219948011023,Fair,14.682941826287536,Walk,None,Major,High,Positive,Active,Fair,60.464686175787165,0.9748798632050408
Middle Class,Some College,,Good,29.68684166732212,Walk,Severe,None,None,Positive,Active,Poor,73.01221603499854,0.17407920001914878
Upper Middle,Less than HS,3.7102539632595506,Good,23.044398364328003,,Moderate,Minor,High,Positive,None,Excellent,,0.4425938168850433
Low Income,Bachelor,1.8243078041286909,Good,,Car,Mild,Minor,Moderate,Neutral,Active,Fair,83.91253760553835,0.0587700897540423
Low Income,Some College,3.6831766848721235,Excellent,5.467954761463053,None,Mild,Major,High,Positive,Some,Good,98.95785966481279,0.9701040105215761
Wealthy,Graduate,1.7265764824216374,Good,13.255487680519954,Bus,None,None,None,Negative,Active,Poor,96.30078042343378,
Below Poverty,Some College,1.5853223227771713,Poor,4.334184991666602,Bus,Severe,Minor,Low,Positive,Some,Good,76.36088006218081,0.8396316869128824
Low Income,Less than HS,3.3755469607105044,Excellent,20.642359891731676,None,None,None,Low,Neutral,Some,Good,51.90598664477825,0.5083820559164913
Wealthy,High School,2.261192981331821,Poor,17.415092191869398,None,Mild,Major,Moderate,Negative,None,Good,64.69085582196364,0.7050892987092364
Upper Middle,Bachelor,1.7809227406229875,Good,11.494832986826257,,Severe,None,Low,Neutral,None,Poor,81.13324844791137,0.4750292929256613
Middle Class,Graduate,1.9002569842375547,Good,6.17160154379121,None,,Major,Low,Negative,None,Toxic,53.29887408305742,0.46477146599593655
Below Poverty,Bachelor,3.072767089150385,,,None,None,Minor,Low,Neutral,None,Toxic,98.84606645000288,0.6209167066270684
Low Income,Bachelor,3.6398856898956136,Excellent,17.27436042540208,Bus,Moderate,Minor,None,Positive,Some,Toxic,79.42080578279253,0.7153825371942473
,Some College,2.9620894609035724,Fair,17.35108798440451,Car,Severe,Minor,Low,Negative,Active,Good,59.660256891549636,0.8794222547332033
Upper Middle,Graduate,2.446172864439659,Poor,7.337428600251958,Walk,Severe,Minor,Low,Negative,None,Toxic,89.4543369301101,0.7029767327266183
Below Poverty,Less than HS,2.6558559493537395,Excellent,14.428001966174781,None,Moderate,None,Low,Neutral,None,Toxic,62.3429250347603,0.9014027951618464
Below Poverty,Less than HS,3.4442034579517986,,23.173386318249886,Car,Moderate,Major,None,Neutral,Some,,82.91332121443679,0.23087510291603097
Upper Middle,Graduate,,Poor,20.817665958746044,Car,Moderate,Major,Moderate,Positive,None,Poor,99.85560329642118,0.26129984661293504
Wealthy,Some College,3.515461109460204,Excellent,23.96800193419613,None,None,Major,Moderate,Negative,Some,Toxic,63.4649474978484,0.2337718769402558
Below Poverty,Graduate,2.1611899883256114,Poor,3.3466260291509,Bus,None,Major,None,Neutral,None,Poor,52.27220327780698,0.10440352081452353
,Some College,3.8967066030842337,Fair,4.708656910634505,Car,Moderate,Major,High,Negative,None,Good,94.76919052327341,0.5873215284411802
,Less than HS,2.3157032520460676,Fair,20.457305659558372,Car,Mild,None,,Neutral,None,Good,56.14171489880092,0.39333004489414714
Below Poverty,Less than HS,1.9550237130296784,Fair,19.467411662971166,Bus,Moderate,Major,Moderate,Positive,None,Toxic,94.1599221887657,0.6049622966916097
Low Income,Bachelor,3.9299183667594626,Good,7.3207932077356626,Walk,Moderate,,None,Negative,None,Toxic,62.880720124614854,0.5239949383187902
Low Income,,1.8814407969037297,Fair,4.90180043806215,Car,Severe,Minor,High,Positive,None,Toxic,84.7452500122601,0.5774110909342475
Below Poverty,High School,3.8819283851669217,Good,19.638567756044637,Car,Severe,Major,None,Positive,None,Fair,50.30194985861552,0.3533551987544016
Middle Class,Some College,1.5681564981655867,Good,29.594962744650466,None,None,Major,,Neutral,Some,Good,77.52112245835494,0.1992145511637553
Wealthy,Some College,3.2212679390250014,Poor,11.41943327004273,Walk,Severe,None,Moderate,Positive,,Poor,53.227832619460834,0.6833122568560122
Below Poverty,,3.299203776302376,Good,20.12645631389793,None,Mild,None,None,Negative,Some,Poor,96.53119748822769,0.7084308684176849
Wealthy,High School,2.311410493531266,Excellent,5.902089036721536,Bus,None,None,None,Neutral,Active,Toxic,89.43722615878383,0.9326468558862782
Wealthy,Some College,1.686992494644755,Fair,11.646664391037568,Walk,Severe,Minor,High,Negative,None,Poor,59.7482374512909,0.26042600782720904
Low Income,Bachelor,1.8709494924293313,Excellent,10.758258238165801,Car,None,None,None,Negative,,Good,56.06421854722942,0.8369041478705975
Wealthy,High School,3.7780894569720487,Excellent,,Car,Severe,Major,,Negative,Some,Poor,92.13708495918377,0.0315274494820168
Middle Class,High School,1.6528520113630685,Poor,9.609350780213608,Bus,Moderate,Minor,Low,Positive,None,Excellent,,0.04559222272236363
Upper Middle,High School,3.8338043930175663,Fair,3.3572200428569805,None,None,Major,Moderate,Positive,Some,Poor,52.47024489551181,0.6522975427950892
Below Poverty,,2.8304172647565125,Good,8.79584845535122,Walk,None,Major,None,Positive,Some,Fair,65.00280028774044,0.16964487719273147
Low Income,Graduate,3.81549912096825,Fair,8.8904646466296,None,Mild,Major,High,Negative,Active,Toxic,58.33704096200003,0.25501621569767974
Below Poverty,Graduate,1.8959092206303518,Poor,8.019981685248954,Car,Moderate,Major,None,,Active,Toxic,76.96983185024789,0.8698481895660267
Upper Middle,Less than HS,2.712648156475397,Excellent,18.311244711086268,Bus,Mild,None,Low,,None,Poor,53.86156622701804,0.6341731839075726
Below Poverty,Less than HS,2.927780242558782,Excellent,27.746032758226267,None,Moderate,Minor,Low,Negative,None,Fair,56.349671314000084,0.8396959611676929
Below Poverty,Graduate,,Fair,22.56831333846964,Walk,Severe,Minor,Moderate,Neutral,None,Excellent,87.33498103121522,0.4523102406510041
Low Income,Less than HS,3.7145488214497258,Excellent,12.83781193487033,Car,Severe,None,Low,Positive,Some,Good,96.27676889570921,0.7374267712403034
Low Income,Some College,2.0894863578935063,Good,26.00297284549873,Walk,None,None,Low,Positive,Some,Good,73.03237258693287,0.3017739879907574
Low Income,Some College,3.7662418606494263,Excellent,22.578970072821335,None,Moderate,Major,Low,Neutral,None,Toxic,87.25137736339357,0.15913121928396778
Low Income,High School,,Poor,17.86181659036106,Car,Mild,None,,Neutral,,Toxic,78.7024596150538,0.20751657660493705
